15:32:25.750 [main] INFO  --- Elenco catalogo ---
15:32:25.759 [main] INFO  --- Rimozione di un elemento ---
15:32:25.761 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 4L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy]
15:32:25.762 [main] INFO  --- Elenco catalogo ---
15:32:25.762 [main] INFO  --- Ricerca di un elemento per ISBN ---
15:32:25.763 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = MotorShow, AnnoPublicazione = 2006, NumeroPagine = 150, periodicità = SEMESTRALE]]
15:32:25.763 [main] INFO  --- Ricerca di un elemento per Anno pubblicazione ---
15:32:25.765 [main] INFO  Elemento ricercato per anno pubblicazione[Libro [ CodiceISBN = 1L, Titolo = Il trono di spade, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = George R.R. Martin, Genere = Fantasy]]
15:32:25.766 [main] INFO  --- Ricerca di un elemento per Autore ---
15:32:25.766 [main] INFO  Elemento ricercato per Autore[Libro [ CodiceISBN = 2L, Titolo = Arte della guerra, AnnoPublicazione = 100, NumeroPagine = 600, Autore = Sun Tzu, Genere = Non-Fiction]]
15:45:37.426 [main] INFO  --- Elenco catalogo ---
15:45:37.437 [main] INFO  --- Rimozione di un elemento ---
15:45:37.439 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy]
15:45:37.440 [main] INFO  --- Elenco catalogo ---
15:45:37.440 [main] INFO  --- Ricerca di un elemento per ISBN ---
15:45:37.441 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = MotorShow, AnnoPublicazione = 2006, NumeroPagine = 150, periodicità = SEMESTRALE]]
15:45:37.441 [main] INFO  --- Ricerca di un elemento per Anno pubblicazione ---
15:45:37.443 [main] INFO  Elemento ricercato per anno pubblicazione[Libro [ CodiceISBN = 1L, Titolo = Il trono di spade, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = George R.R. Martin, Genere = Fantasy]]
15:45:37.443 [main] INFO  --- Ricerca di un elemento per Autore ---
15:45:37.443 [main] INFO  Elemento ricercato per Autore[Libro [ CodiceISBN = 2L, Titolo = Arte della guerra, AnnoPublicazione = 100, NumeroPagine = 600, Autore = Sun Tzu, Genere = Non-Fiction]]
15:48:01.822 [main] INFO  ELENCO CATALOGO
15:48:01.831 [main] INFO  -RIMOZIONE ELEMENTO CON ISBN
15:48:01.834 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy]
15:48:01.835 [main] INFO  --- Ricerca di un elemento per ISBN ---
15:48:01.835 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = MotorShow, AnnoPublicazione = 2006, NumeroPagine = 150, periodicità = SEMESTRALE]]
15:48:01.835 [main] INFO  --- Ricerca di un elemento per Anno pubblicazione ---
15:48:01.836 [main] INFO  Elemento ricercato per anno pubblicazione[Libro [ CodiceISBN = 1L, Titolo = Il trono di spade, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = George R.R. Martin, Genere = Fantasy]]
15:48:01.836 [main] INFO  --- Ricerca di un elemento per Autore ---
15:48:01.837 [main] INFO  Elemento ricercato per Autore[Libro [ CodiceISBN = 2L, Titolo = Arte della guerra, AnnoPublicazione = 100, NumeroPagine = 600, Autore = Sun Tzu, Genere = Non-Fiction]]
15:48:13.167 [main] INFO  ELENCO CATALOGO
15:48:13.175 [main] INFO  -RIMOZIONE ELEMENTO CON ISBN
15:48:13.178 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy]
15:48:13.178 [main] INFO  --- Ricerca di un elemento per ISBN ---
15:48:13.178 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = MotorShow, AnnoPublicazione = 2006, NumeroPagine = 150, periodicità = SEMESTRALE]]
15:48:13.178 [main] INFO  --- Ricerca di un elemento per Anno pubblicazione ---
15:48:13.179 [main] INFO  Elemento ricercato per anno pubblicazione[Libro [ CodiceISBN = 1L, Titolo = Il trono di spade, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = George R.R. Martin, Genere = Fantasy]]
15:48:13.179 [main] INFO  --- Ricerca di un elemento per Autore ---
15:48:13.180 [main] INFO  Elemento ricercato per Autore[Libro [ CodiceISBN = 2L, Titolo = Arte della guerra, AnnoPublicazione = 100, NumeroPagine = 600, Autore = Sun Tzu, Genere = Non-Fiction]]
15:52:02.162 [main] INFO  ELENCO CATALOGO
15:52:02.172 [main] INFO  -RIMOZIONE ELEMENTO CON ISBN
15:52:02.175 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy]
15:52:02.175 [main] INFO  --- Ricerca di un elemento per ISBN ---
15:52:02.176 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = MotorShow, AnnoPublicazione = 2006, NumeroPagine = 150, periodicità = SEMESTRALE]]
15:52:02.176 [main] INFO  --- Ricerca di un elemento per Anno pubblicazione ---
15:52:02.177 [main] INFO  Elemento ricercato per anno pubblicazione[Libro [ CodiceISBN = 1L, Titolo = Il trono di spade, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = George R.R. Martin, Genere = Fantasy]]
15:52:02.177 [main] INFO  --- Ricerca di un elemento per Autore ---
15:52:02.179 [main] INFO  Elemento ricercato per Autore[Libro [ CodiceISBN = 2L, Titolo = Arte della guerra, AnnoPublicazione = 100, NumeroPagine = 600, Autore = Sun Tzu, Genere = Non-Fiction]]
15:54:21.867 [main] INFO  ELENCO CATALOGO
15:54:21.876 [main] INFO  -RIMOZIONE ELEMENTO CON ISBN
15:54:21.878 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy]
15:54:21.878 [main] INFO  --- Ricerca di un elemento per ISBN ---
15:54:21.879 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = MotorShow, AnnoPublicazione = 2006, NumeroPagine = 150, periodicità = SEMESTRALE]]
15:54:21.879 [main] INFO  --- Ricerca di un elemento per Anno pubblicazione ---
15:54:21.880 [main] INFO  Elemento ricercato per anno pubblicazione[Libro [ CodiceISBN = 1L, Titolo = Il trono di spade, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = George R.R. Martin, Genere = Fantasy]]
15:54:21.880 [main] INFO  --- Ricerca di un elemento per Autore ---
15:54:21.880 [main] INFO  Elemento ricercato per Autore[Libro [ CodiceISBN = 2L, Titolo = Arte della guerra, AnnoPublicazione = 100, NumeroPagine = 600, Autore = Sun Tzu, Genere = Non-Fiction]]
15:54:45.639 [main] INFO  ELENCO CATALOGO
15:54:45.651 [main] INFO  -RIMOZIONE ELEMENTO CON ISBN
15:54:45.653 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy]
15:54:45.653 [main] INFO  --- Ricerca di un elemento per ISBN ---
15:54:45.654 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = MotorShow, AnnoPublicazione = 2006, NumeroPagine = 150, periodicità = SEMESTRALE]]
15:54:45.654 [main] INFO  --- Ricerca di un elemento per Anno pubblicazione ---
15:54:45.656 [main] INFO  Elemento ricercato per anno pubblicazione[Libro [ CodiceISBN = 1L, Titolo = Il trono di spade, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = George R.R. Martin, Genere = Fantasy]]
15:54:45.657 [main] INFO  --- Ricerca di un elemento per Autore ---
15:54:45.657 [main] INFO  Elemento ricercato per Autore[Libro [ CodiceISBN = 2L, Titolo = Arte della guerra, AnnoPublicazione = 100, NumeroPagine = 600, Autore = Sun Tzu, Genere = Non-Fiction]]
15:56:11.210 [main] INFO  ELENCO CATALOGO
15:56:11.218 [main] INFO  RIMOZIONE ELEMENTI CON ISBN
15:56:11.221 [main] INFO  Elemento rimossoLibro [ CodiceISBN = 3L, Titolo = Il signore degli Anelli, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = J. R. R. Tolkien, Genere = Fantasy]
15:56:11.221 [main] INFO  RICERCA ELEMENTI CON ISBN
15:56:11.222 [main] INFO  Elemento ricercato per codice ISBN[Rivista [ CodiceISBN = 3R, Titolo = MotorShow, AnnoPublicazione = 2006, NumeroPagine = 150, periodicità = SEMESTRALE]]
15:56:11.222 [main] INFO  RICERCA ELEMENTI PER ANNO
15:56:11.223 [main] INFO  Elemento ricercato per anno pubblicazione[Libro [ CodiceISBN = 1L, Titolo = Il trono di spade, AnnoPublicazione = 2015, NumeroPagine = 400, Autore = George R.R. Martin, Genere = Fantasy]]
15:56:11.224 [main] INFO  RICERCA ELEMENTI PER AUTORE
